,latitude,longitude,time,tags
9606,37.816224457,-122.203444661,2017-08-04 01:19:34,cigarette+raw
9607,37.815963957,-122.205113741,2017-08-04 01:22:03,plastic
9608,37.816374628,-122.205153974,2017-08-04 01:22:38,cigarette+marlboro
9609,37.815963957,-122.205113741,2017-08-04 01:21:42,marlboro+cigarette
9610,37.816224457,-122.203444661,2017-08-04 01:19:16,lagunitasbrewingco+bottlecap
9611,37.81594736,-122.205019109,2017-08-04 01:20:12,monopoly+safeway
9612,37.816224457,-122.203444661,2017-08-04 01:19:31,plastic
9613,37.859473238,-122.243130914,2017-08-03 21:35:24,paper
9614,37.859093138,-122.242166363,2017-08-03 21:34:11,paper
9615,37.859313525,-122.242353447,2017-08-03 21:34:32,plastic
9616,37.850483169,-122.243355295,2017-08-03 16:02:48,plastic
9617,37.85932813,-122.242932733,2017-08-03 16:11:33,kirkland
9618,37.849915164,-122.243902923,2017-08-03 16:01:41,plastic
9619,37.849988852,-122.243894518,2017-08-03 16:01:44,plastic
9620,37.850629193,-122.242899279,2017-08-03 16:03:27,glass
9621,37.850238873,-122.243768876,2017-08-03 16:02:19,bottlecap+plastic
9622,37.850577319,-122.243110584,2017-08-03 16:03:45,marlboro+cigarette
9623,37.850561519,-122.243096,2017-08-03 16:03:34,glass
9624,37.850067867,-122.24389622,2017-08-03 16:01:47,donsuemor
9625,37.850072309,-122.243864704,2017-08-03 16:01:53,paper
9626,37.85932813,-122.242932733,2017-08-03 16:11:43,paper+cafedelight
9627,37.850266309,-122.243704526,2017-08-03 16:02:28,paper+wrigleys+gum+wrapper
9628,37.850374184,-122.243649457,2017-08-03 16:02:38,paper+lollipop
9629,37.850629193,-122.242899279,2017-08-03 16:03:30,glass
9630,37.861268347,-122.241104578,2017-08-03 00:01:00,splenda
9631,37.850394468,-122.244249898,2017-08-02 15:45:56,donoteat
9632,37.849979522,-122.24441858,2017-08-01 21:35:58,wrigleys+paper+gum+wrapper
9633,37.849144223,-122.246772889,2017-08-01 21:42:47,nerf
9634,37.849979522,-122.24441858,2017-08-01 21:39:55,cup+plastic
9635,37.849144223,-122.246772889,2017-08-01 21:41:27,bottle+marketpantry+plastic
9636,37.849979522,-122.24441858,2017-08-01 21:35:38,plastic
9638,37.849979522,-122.24441858,2017-08-01 21:38:13,paper
9639,37.849979522,-122.24441858,2017-08-01 21:40:24,plastic+bag
9640,37.849979522,-122.24441858,2017-08-01 21:36:02,plastic
9641,37.849979522,-122.24441858,2017-08-01 21:36:58,wrigleys+wrapper+paper+gum
9642,37.849144223,-122.246772889,2017-08-01 21:43:14,plastic
9643,37.860351666,-122.242882932,2017-08-01 16:10:27,starburst+wrapper
9644,37.848678944,-122.243756997,2017-07-31 21:58:59,paper
9645,37.848678944,-122.243756997,2017-07-31 21:58:37,plastic+bag
9646,37.848669305,-122.243813407,2017-07-31 21:57:41,plastic+lid
9647,37.848678944,-122.243756997,2017-07-31 21:58:08,kashi+wrapper
9648,37.848678944,-122.243756997,2017-07-31 21:57:55,wrapper+rolo
9649,37.849442032,-122.243512496,2017-07-31 21:59:01,bag+plastic
9650,37.849436584,-122.243512832,2017-07-31 21:59:04,backwoods
9651,37.849433399,-122.243489949,2017-07-31 21:59:10,bottlecap+plastic
9652,37.848678944,-122.243756997,2017-07-31 21:58:17,cigarette+newport
9653,37.858109213,-122.241688678,2017-07-31 16:11:40,paper+clamcheck
